CPU: Intel Sandy Bridge microarchitecture, speed 2493.76 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted mem_load_uops_misc_retired events (Memory load uops retired) with a unit mask of 0x02 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
1406      0.0776  137       0.1646  24        0.0555  libjvm.so                PhaseLive::add_liveout(Block*, IndexSet*, VectorSet&)
1400      0.0773  64        0.0769  40        0.0926  libpthread-2.12.so       __lll_unlock_wake
1393      0.0769  52        0.0625  28        0.0648  libnio.so                Java_sun_nio_ch_NativeThread_current
1393      0.0769  64        0.0769  36        0.0833  vmlinux                  auditsys
1387      0.0765  44        0.0529  43        0.0995  libjvm.so                ExceptionMark::~ExceptionMark()
1381      0.0762  107       0.1286  16        0.0370  libjvm.so                PhaseIdealLoop::build_loop_late_post(Node*)
1364      0.0753  448       0.5382  7         0.0162  libjvm.so                PhaseAggressiveCoalesce::insert_copies(Matcher&)
1359      0.0750  58        0.0697  32        0.0741  vmlinux                  create_basic_memory_bitmaps
1355      0.0748  51        0.0613  33        0.0764  vmlinux                  security_compute_av
1350      0.0745  61        0.0733  25        0.0579  vmlinux                  ip_mr_forward
1343      0.0741  68        0.0817  35        0.0810  vmlinux                  calc_hpet_ref
1343      0.0741  68        0.0817  37        0.0856  vmlinux                  cmsghdr_from_user_compat_to_kern
1341      0.0740  48        0.0577  40        0.0926  vmlinux                  pcie_port_device_register
1336      0.0737  68        0.0817  29        0.0671  vmlinux                  mm_init
1326      0.0732  33        0.0396  14        0.0324  libjvm.so                resource_allocate_bytes(unsigned long, AllocFailStrategy::AllocFailEnum)
1313      0.0725  50        0.0601  39        0.0903  libjvm.so                ResourceMark::~ResourceMark()
1310      0.0723  61        0.0733  36        0.0833  libjvm.so                SharedRuntime::complete_monitor_unlocking_C(oopDesc*, BasicLock*)
1309      0.0722  46        0.0553  40        0.0926  libjvm.so                oopDesc::size_given_klass(Klass*)
1298      0.0716  53        0.0637  28        0.0648  vmlinux                  nlmsg_parse.clone.2
1294      0.0714  112       0.1346  15        0.0347  libjvm.so                PhaseChaitin::Select()
1291      0.0712  70        0.0841  23        0.0532  libjvm.so                Dict::Insert(void*, void*, bool)
1291      0.0712  74        0.0889  28        0.0648  vmlinux                  ftrace_define_fields_mm_vmscan_lru_isolate
1291      0.0712  33        0.0396  19        0.0440  vmlinux                  security_get_user_sids
1286      0.0710  75        0.0901  40        0.0926  vmlinux                  sys_remap_file_pages
1286      0.0710  49        0.0589  27        0.0625  vmlinux                  task_blocks_on_rt_mutex
1282      0.0707  52        0.0625  30        0.0694  vmlinux                  ftrace_define_fields_signal_deliver
1279      0.0706  68        0.0817  27        0.0625  vmlinux                  futex_requeue
1264      0.0698  46        0.0553  22        0.0509  vmlinux                  ipv4_dst_ifdown
1260      0.0695  59        0.0709  26        0.0602  vmlinux                  __tcf_em_tree_match
1250      0.0690  48        0.0577  16        0.0370  libc-2.12.so             __libc_disable_asynccancel
1244      0.0687  110       0.1322  1         0.0023  libjvm.so                Compile::BuildOopMaps()
1244      0.0687  72        0.0865  33        0.0764  vmlinux                  rb_allocate_cpu_buffer
1236      0.0682  51        0.0613  31        0.0717  vmlinux                  tracing_trace_options_write
1234      0.0681  53        0.0637  21        0.0486  vmlinux                  d_move_locked
1228      0.0678  40        0.0481  20        0.0463  libjvm.so                JavaThread::is_lock_owned(unsigned char*) const
1225      0.0676  53        0.0637  15        0.0347  vmlinux                  xfrm_audit_helper_sainfo
